route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T01,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T02,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T03,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T04,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T05,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T06,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T07,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T08,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T09,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T10,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T11,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T12,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T13,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T14,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T15,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T16,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T17,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T18,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T19,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T20,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T21,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T22,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T23,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T24,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T25,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T26,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T27,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T28,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T29,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T30,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T31,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T32,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_T33,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_M_T01,Novo Naselje,0,,Linija_1A_Smer_A_Od_Mešc,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_M_T02,Novo Naselje,0,,Linija_1A_Smer_A_Od_Mešc,0,
1A,radni_dan,Linija_1A_Smer_A_radni_dan_J_T01,Jadran,0,,Linija_1A_Smer_A_Do_Jadran,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T01,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T02,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T03,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T04,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T05,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T06,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T07,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T08,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T09,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T10,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T11,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T12,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T13,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T14,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T15,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T16,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T17,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T18,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T19,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T20,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T21,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T22,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T23,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T24,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T25,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T26,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T27,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T28,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T29,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T30,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T31,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T32,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T33,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_T34,Kelebija Opština ,1,,Linija_1A_Smer_B,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_J_T01,Kelebija Opština ,1,,Linija_1A_Smer_B_Od_Jadran,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_J_T02,Kelebija Opština ,1,,Linija_1A_Smer_B_Od_Jadran,0,
1A,radni_dan,Linija_1A_Smer_B_radni_dan_M_T01,Mešc,1,,Linija_1A_Smer_B_Do_Mešc,0,
1A,subota,Linija_1A_Smer_A_subota_T01,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,subota,Linija_1A_Smer_A_subota_T02,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,subota,Linija_1A_Smer_A_subota_T03,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,subota,Linija_1A_Smer_A_subota_T04,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,subota,Linija_1A_Smer_A_subota_T05,Novo Naselje,0,,Linija_1A_Smer_A,0,
1A,subota,Linija_1A_Smer_A_subota_T06,Novo Naselje,0,,Linija_1A_Smer_A,0,
